vertex_1,vertex_2,diameter
0,0,5.5215
0,0,5.5215
0,1,5.5215
1,1,3.1498
1,1,3.1498
1,2,3.1498
2,2,3.4983
2,2,3.4983
2,3,3.4983
3,3,3.679
3,3,3.679
3,4,3.679
4,4,4.14
4,4,4.14
4,5,4.14
5,5,3.354
5,5,3.354
5,6,3.354
6,6,4.3591
6,6,4.3591
6,7,4.3591
7,7,3.5556
7,7,3.5556
7,8,3.5556
8,8,3.5448
8,8,3.5448
8,9,3.5448
9,9,2.4663
9,9,2.4663
9,10,2.4663
10,10,3.4389
10,10,3.4389
10,11,3.4389
11,11,3.3129
11,11,3.3129
11,12,3.3129
12,12,3.6147
12,12,3.6147
12,13,3.6147
13,13,3.7179
13,13,3.7179
13,14,3.7179
14,14,4.3034
14,14,4.3034
14,15,4.3034
15,15,4.2622
15,15,4.2622
15,16,4.2622
16,16,4.0007
16,16,4.0007
16,17,4.0007
17,17,3.6286
17,17,3.6286
17,18,3.6286
18,18,3.3219
18,18,3.3219
18,19,3.3219
19,19,3.3219
19,19,3.3219
19,20,3.3219
20,20,3.3155
20,20,3.3155
20,21,3.3155
21,21,3.3155
21,21,3.3155
21,22,3.3155
22,22,4.3304
22,22,4.3304
22,23,4.3304
23,23,4.3304
23,23,4.3304
23,24,4.3304
24,24,3.7362
24,24,3.7362
24,25,3.7362
25,25,3.7362
25,25,3.7362
25,26,3.7362
26,26,4.9739
26,26,4.9739
26,27,4.9739
27,27,4.5106
27,27,4.5106
27,28,4.5106
28,28,3.5508
28,28,3.5508
28,29,3.5508
29,29,3.5508
29,29,3.5508
29,30,3.5508
30,30,3.8854
30,30,3.8854
30,31,3.8854
31,31,4.9855
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,31,5.4772
31,32,8.0672
32,32,4.9855
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,32,4.1013
32,33,4.317
33,33,4.9855
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,33,5.7589
33,34,4.6049
34,34,4.9855
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,34,4.6047
34,35,3.8585
35,35,8.0672
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,35,8.7245
35,36,6.4833
36,36,8.0672
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,36,10.0
36,37,27.419
37,37,18.895
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,37,8.6843
37,38,6.5644
38,38,18.895
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,38,24.0
38,39,17.568
39,39,18.895
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,39,24.0
39,40,19.34
40,40,9.2786
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
40,40,7.0085
