vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht,rbc_probability
6555,6670,5.5215417147e-06,2.5644664139996576e-05,4.443653263458561e-16,2.4357329226088317e-05,0.3,1.0
6557,6671,3.149836421e-06,1.886476730802158e-05,8.239937626529527e-17,1.1500996973270494e-05,0.3,1.0
6558,6672,3.4982812405e-06,1.5293891718174545e-05,-4.816278049485199e-18,-5.683105976330462e-07,0.3,1.0
6562,6673,3.6789674759e-06,1.3828515362136117e-05,5.697580832575388e-17,6.197258100828953e-06,0.3,1.0
6565,6674,4.1400167942e-06,1.0920015320054182e-05,2.886949912033371e-17,2.587543192150574e-06,0.3,1.0
6576,6675,3.3539886474e-06,1.6638120941820383e-05,-5.34518033062808e-17,-6.748804434495301e-06,0.3,1.0
6582,6676,4.3590774537e-06,9.850046524590094e-06,-1.3528285847525402e-16,-1.1127594505832111e-05,0.3,1.0
6593,6677,3.5556491614e-06,1.4804360393020173e-05,-6.516635039298311e-18,-7.49037320581722e-07,0.3,1.0
6600,6678,3.544847846e-06,1.4894716986143584e-05,-3.103525806224548e-17,-3.5848303208398444e-06,0.3,1.0
6602,6679,2.4663319587e-06,3.0769780084001453e-05,-4.8537796083399145e-18,-1.015984565475033e-06,0.3,1.0
6606,6680,3.4389162063e-06,1.582647754075803e-05,-1.5051877093157163e-17,-1.825688105098722e-06,0.3,1.0
6609,6681,3.3129243849999995e-06,1.7053141916565512e-05,1.4749126946135282e-17,1.899315422167054e-06,0.3,1.0
6613,6682,3.6147465706e-06,1.43242451360105e-05,2.007018292239903e-17,2.2462451009138968e-06,0.3,1.0
6630,6683,3.7178865671e-06,1.3540515005495302e-05,-1.5895664424645782e-17,-1.6996668671712158e-06,0.3,1.0
6647,6684,4.3033764363e-06,1.01066861250517e-05,4.784216889593866e-18,4.0207411950171917e-07,0.3,1.0
6662,6685,4.2622361183e-06,1.0302732961653816e-05,1.3398380739935629e-17,1.1442103037764082e-06,0.3,1.0
576,6686,4.0006780625e-06,1.169392337576353e-05,-7.523634882968719e-17,-7.135633824701257e-06,0.3,0.3333333333333333
1766,6687,3.6286107302e-06,1.4214994382378967e-05,1.0245313143994121e-16,1.1395650096642378e-05,0.3,0.3333333333333333
2847,6689,3.3219351768e-06,1.6960753656299667e-05,-1.723588470041002e-17,-2.2099205520879998e-06,0.3,0.17264371333231557
2847,6688,3.3219351768e-06,1.6960753656299667e-05,3.920548105658161e-17,5.026779875092536e-06,0.3,0.8273562866676845
5047,6691,3.3155384064e-06,1.7026262598795664e-05,-1.0792644574218024e-18,-1.388067448321449e-07,0.3,0.3333333333333333
5047,6690,3.3155384064e-06,1.7026262598795664e-05,2.2132712076276848e-18,2.846540249230513e-07,0.3,0.3333333333333333
5074,6693,4.3304483891e-06,9.98071649281681e-06,3.030271443639318e-17,2.5201532434254976e-06,0.3,0.3333333333333333
5074,6692,4.3304483891e-06,9.98071649281681e-06,1.0040255066811437e-17,8.350070890367353e-07,0.3,0.3333333333333333
5766,6695,3.7361668348e-06,1.340833745114524e-05,0.0,4.6913994649241576e-20,0.3,0.3333333333333333
5766,6694,3.7361668348e-06,1.340833745114524e-05,0.0,0.0,0.3,0.3333333333333333
5828,6696,4.973899364499999e-06,7.56542735189869e-06,8.779515092945717e-18,5.772595717845238e-07,0.3,0.3333333333333333
6012,6697,4.5105600357e-06,9.199548599488372e-06,1.0792760409736485e-17,8.382447876327679e-07,0.3,0.3333333333333333
6614,6699,3.5508066416e-06,1.4844767714820717e-05,6.458298054531966e-17,7.43967251127804e-06,0.3,0.18083806294925547
6614,6698,3.5508066416e-06,1.4844767714820717e-05,-6.957004922335041e-17,-8.014160672749085e-06,0.3,0.8191619370507446
6669,6698,3.8853638172e-06,1.239835509146163e-05,6.994957502754574e-17,6.960601991025677e-06,0.3,1.0
0,1,5.477177143e-06,5.133755908857856e-05,-1.3663989081577602e-15,-7.596878799993317e-05,0.3,0.25
0,9,4.101261139e-06,8.160817911150267e-05,3.1304042210409643e-16,2.8497756270938877e-05,0.3,0.25
0,77,5.7588582038e-06,0.0001379873687604,8.711995453942356e-16,4.432520004781307e-05,0.3,0.25
0,25,4.604748725800001e-06,0.0001429627892129,1.82158940659434e-16,1.3662375526992808e-05,0.3,0.25
1,59,8.724498748799999e-06,7.141129773093702e-05,3.535940217727753e-15,8.317025687749835e-05,0.3,0.28865345956733873
1,46,1e-05,0.000257633049686,-4.902339125885494e-15,-8.838174204733141e-05,0.3,0.7058477776835261
2,112,8.684271812400003e-06,0.0001177700365786,-5.553661250192686e-16,-1.3179949278253431e-05,0.3,0.3333333333333333
2,5,2.4e-05,3.553444046914421e-05,-2.4948075512007308e-15,-7.565731776636439e-06,0.3,0.3333333333333333
2,14,2.4e-05,0.0001448123960968,3.0501736762201278e-15,9.24993027832224e-06,0.3,0.3333333333333333
3,50,7.0085449218e-06,0.0001051146402448,-2.152318878073037e-16,-7.663955624145121e-06,0.3,0.3333333333333333
3,12,5.7946753502e-06,5.265612529163336e-05,-2.540280654981025e-16,-1.2782677015381118e-05,0.3,0.3333333333333333
3,6,1.5032551765399998e-05,3.287345747344081e-05,4.69259953305354e-16,3.731003398623134e-06,0.3,0.3333333333333333
