vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht
6555,6670,5.5215417147e-06,2.5644664139996576e-05,4.443653263458561e-16,2.4357329226088314e-05,0.3
6557,6671,3.149836421e-06,1.886476730802158e-05,8.239937626529527e-17,1.1500996973270494e-05,0.3
6558,6672,3.4982812405e-06,1.5293891718174545e-05,-4.816278049485198e-18,-5.683105976330462e-07,0.3
6562,6673,3.6789674759e-06,1.3828515362136117e-05,5.697580832575388e-17,6.197258100828953e-06,0.3
6565,6674,4.1400167942e-06,1.0920015320054182e-05,2.886949912033371e-17,2.587543192150574e-06,0.3
6576,6675,3.3539886474e-06,1.6638120941820383e-05,-5.3451803306280785e-17,-6.748804434495301e-06,0.3
6582,6676,4.3590774537e-06,9.850046524590094e-06,-1.3528285847525402e-16,-1.1127594505832111e-05,0.3
6593,6677,3.5556491614e-06,1.4804360393020173e-05,-6.516635039298311e-18,-7.49037320581722e-07,0.3
6600,6678,3.544847846e-06,1.4894716986143584e-05,-3.103525806224548e-17,-3.5848303208398444e-06,0.3
6602,6679,2.4663319587e-06,3.0769780084001453e-05,-4.853779608339914e-18,-1.015984565475033e-06,0.3
6606,6680,3.4389162063e-06,1.582647754075803e-05,-1.5051877093157163e-17,-1.825688105098722e-06,0.3
6609,6681,3.3129243849999995e-06,1.7053141916565512e-05,1.4749126946135282e-17,1.899315422167054e-06,0.3
6613,6682,3.6147465706e-06,1.43242451360105e-05,2.007018292239903e-17,2.2462451009138968e-06,0.3
6630,6683,3.7178865671e-06,1.3540515005495302e-05,-1.5895664424645782e-17,-1.6996668671712158e-06,0.3
6647,6684,4.3033764363e-06,1.01066861250517e-05,4.784216889593866e-18,4.0207411950171907e-07,0.3
6662,6685,4.2622361183e-06,1.0302732961653816e-05,1.339838073993563e-17,1.1442103037764082e-06,0.3
576,6686,4.0006780625e-06,1.169392337576353e-05,-7.523634882968719e-17,-7.135633824701257e-06,0.3
1766,6687,3.6286107302e-06,1.4214994382378967e-05,1.0245313143994122e-16,1.1395650096642378e-05,0.3
2847,6689,3.3219351768e-06,1.6960753656299667e-05,-1.723588470041002e-17,-2.2099205520879993e-06,0.3
2847,6688,3.3219351768e-06,1.6960753656299667e-05,3.9205481056581605e-17,5.026779875092536e-06,0.3
5047,6691,3.3155384064e-06,1.7026262598795664e-05,-1.0792644574218024e-18,-1.3880674483214487e-07,0.3
5047,6690,3.3155384064e-06,1.7026262598795664e-05,2.2132712076276848e-18,2.846540249230513e-07,0.3
5074,6693,4.3304483891e-06,9.98071649281681e-06,3.030271443639318e-17,2.5201532434254976e-06,0.3
5074,6692,4.3304483891e-06,9.98071649281681e-06,1.0040255066811435e-17,8.350070890367353e-07,0.3
